"codi_eoi","nom_estacio","data","magnitud","contaminant","unitats","tipus_estacio","area_urbana","codi_ine","municipi","codi_comarca","nom_comarca","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24","altitud","latitud","longitud","h01","h02","h03","h04","h05","h06","h07","h08","h09"
"43123005","Reus",2019-10-21,"6","CO","mg/m3","traffic","suburban","43123","Reus","08","Baix Camp",NA,NA,NA,NA,NA,NA,"0.8","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.2","102","41.150803","1.1202013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43123005","Reus",2019-12-29,"6","CO","mg/m3","traffic","suburban","43123","Reus","08","Baix Camp","0.5","0.5","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.5","0.4","0.5","0.4","0.3","102","41.150803","1.1202013","0.4","0.4","0.3","0.2","0.2","0.2","0.2","0.3","0.4"
"43148028","Tarragona (Parc de la Ciutat)",2019-01-16,"6","CO","mg/m3","background","urban","43148","Tarragona","36","Tarragonès",NA,NA,NA,"0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.7","0.4","13","41.1174","1.2417027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148028","Tarragona (Parc de la Ciutat)",2019-11-07,"6","CO","mg/m3","background","urban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,NA,NA,NA,"0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","13","41.1174","1.2417027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43123005","Reus",2019-11-28,"65","H2S","µg/m3","traffic","suburban","43123","Reus","08","Baix Camp",NA,"1",NA,NA,NA,"1","1","1.1","1.5","1.3","1.3","1.7","1.2","1","1.1","102","41.150803","1.1202013","1.1","1",NA,NA,NA,NA,NA,NA,NA
"43148001","Tarragona (Sant Salvador)",2019-04-08,"65","H2S","µg/m3","traffic","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1.1","1.2","77","41.15951","1.2396973",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148022","Tarragona (Universitat Laboral)",2019-08-16,"65","H2S","µg/m3","industrial","suburban","43148","Tarragona","36","Tarragonès","2.2","2.1","2.1","2.1","1.7","1.9","1.9","2.2","2.4","2.1","2.4",NA,NA,NA,NA,"5","41.103706","1.2007992","1.9","1.8","1.7","1.7","1.8","2","2.2","2.4","2.4"
"43123005","Reus",2019-10-21,"7","NO","µg/m3","traffic","suburban","43123","Reus","08","Baix Camp",NA,NA,NA,NA,NA,NA,"1","2","5","4","16","18","10","1","1","102","41.150803","1.1202013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148028","Tarragona (Parc de la Ciutat)",2019-01-16,"7","NO","µg/m3","background","urban","43148","Tarragona","36","Tarragonès",NA,NA,NA,"21","24","10","5","2","1","2","1","9","33","77","9","13","41.1174","1.2417027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148001","Tarragona (Sant Salvador)",2019-06-14,"7","NO","µg/m3","traffic","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,NA,"4","4","3","3","3","3","3","2","5","2","77","41.15951","1.2396973","1","1","1","1","2","2","9","15","15"
"43148001","Tarragona (Sant Salvador)",2019-07-23,"7","NO","µg/m3","traffic","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,"4","5","5","3","3","2","2","1","3","5","5","77","41.15951","1.2396973","3","2","2","2","2","4","14","16",NA
"43123005","Reus",2019-11-29,"8","NO2","µg/m3","traffic","suburban","43123","Reus","08","Baix Camp","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","41.150803","1.1202013","17","13","8","11","8","13","16","18","51"
"43148028","Tarragona (Parc de la Ciutat)",2019-01-15,"8","NO2","µg/m3","background","urban","43148","Tarragona","36","Tarragonès","63","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","41.1174","1.2417027","45","40","32","17","16","22","40","56","71"
"43148028","Tarragona (Parc de la Ciutat)",2019-06-08,"8","NO2","µg/m3","background","urban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,"19","12","8","6","6","5","7","7","10","13","25","13","41.1174","1.2417027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148001","Tarragona (Sant Salvador)",2019-03-19,"8","NO2","µg/m3","traffic","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,NA,"10","7","9","19","23","24","14","13","11","8","77","41.15951","1.2396973","12","10","9","8","9","16","32","37",NA
"43148001","Tarragona (Sant Salvador)",2019-04-23,"8","NO2","µg/m3","traffic","suburban","43148","Tarragona","36","Tarragonès","51","52",NA,NA,NA,NA,"10","9","10","11","13","14","17","16","21","77","41.15951","1.2396973","10","11","10","10","12","20","35","33","29"
"43148001","Tarragona (Sant Salvador)",2019-07-23,"8","NO2","µg/m3","traffic","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,"22","22","19","16","16","14","13","13","35","34","43","77","41.15951","1.2396973","26","20","15","9","12","32","57","53",NA
"43148001","Tarragona (Sant Salvador)",2019-09-19,"8","NO2","µg/m3","traffic","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,NA,"10","12","8","10","11","12","21","25","21","17","77","41.15951","1.2396973","27","20","10","12","16","21","39","48",NA
"43123005","Reus",2019-10-20,"12","NOX","µg/m3","traffic","suburban","43123","Reus","08","Baix Camp","14","12","5","13","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","41.150803","1.1202013","8","4","4","3","1","2","4","9","30"
"43148003","Tarragona (Bonavista)",2019-01-14,"12","NOX","µg/m3","industrial","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,"6","6","6","7","10","16","15","13","13","12","11","39","41.11591","1.1919986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43123005","Reus",2019-10-21,"14","O3","µg/m3","traffic","suburban","43123","Reus","08","Baix Camp",NA,NA,NA,NA,NA,NA,"74","73","59","56","28","7","14","36","38","102","41.150803","1.1202013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148003","Tarragona (Bonavista)",2019-05-22,"11","PM1","µg/m3","industrial","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","41.11591","1.1919986","9","9","9","10","12","13","14","14","14"
"43123005","Reus",2019-09-21,"10","PM10","µg/m3","traffic","suburban","43123","Reus","08","Baix Camp","9","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102","41.150803","1.1202013","16","16","15","13","13","13","14","17",NA
"43123005","Reus",2019-10-21,"10","PM10","µg/m3","traffic","suburban","43123","Reus","08","Baix Camp",NA,NA,NA,NA,NA,NA,NA,NA,"11","11","11","27","24","12","13","102","41.150803","1.1202013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43123005","Reus",2019-12-02,"10","PM10","µg/m3","traffic","suburban","43123","Reus","08","Baix Camp",NA,NA,NA,"18","4","3","22","6","8","21","21","15","19","12","12","102","41.150803","1.1202013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148003","Tarragona (Bonavista)",2019-05-23,"9","PM2.5","µg/m3","industrial","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,NA,NA,"15","16","17","10","11","9","11","9","12","39","41.11591","1.1919986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148003","Tarragona (Bonavista)",2019-05-23,"1","SO2","µg/m3","industrial","suburban","43148","Tarragona","36","Tarragonès",NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","39","41.11591","1.1919986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43148003","Tarragona (Bonavista)",2019-12-18,"1","SO2","µg/m3","industrial","suburban","43148","Tarragona","36","Tarragonès","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39","41.11591","1.1919986","4","5","4","4","4","4","3","3","4"
